sudo dmesg -C
sudo insmod latency.ko
sudo rmmod latency.ko
dmesg
[ 1036.699339] Insert module 
[ 1036.777208] L(21, 16): 801 	
[ 1036.837794] L(21, 16): 858 	
[ 1036.878476] L(21, 16): 727 	
[ 1036.907495] L(21, 16): 516 	
[ 1036.935694] L(21, 16): 506 	
[ 1036.960458] L(21, 16): 444 	
[ 1036.985517] L(21, 16): 450 	
[ 1037.010249] L(21, 16): 444 	
[ 1037.035148] L(21, 16): 447 	
[ 1037.060670] L(21, 16): 458 	
[ 1037.085446] L(21, 16): 444 	
[ 1037.110084] L(21, 16): 442 	
[ 1037.134940] L(21, 16): 446 	
[ 1037.159697] L(21, 16): 444 	
[ 1037.184801] L(21, 16): 450 	
[ 1037.209136] L(21, 16): 437 	

[ 1037.235445] L(21, 17): 472 	
[ 1037.261640] L(21, 17): 470 	
[ 1037.289358] L(21, 17): 497 	
[ 1037.317148] L(21, 17): 497 	
[ 1037.344597] L(21, 17): 492 	
[ 1037.373012] L(21, 17): 510 	
[ 1037.409646] L(21, 17): 640 	
[ 1037.451429] L(21, 17): 228 	
[ 1037.494724] L(21, 17): 180 	
[ 1037.534629] L(21, 17): 710 	
[ 1037.569542] L(21, 17): 621 	
[ 1037.596106] L(21, 17): 476 	
[ 1037.625835] L(21, 17): 534 	
[ 1037.653697] L(21, 17): 500 	
[ 1037.682358] L(21, 17): 512 	
[ 1037.707933] L(21, 17): 459 	

[ 1037.730151] L(21,  9): 398 	
[ 1037.752504] L(21,  9): 401 	
[ 1037.775510] L(21,  9): 411 	
[ 1037.799040] L(21,  9): 422 	
[ 1037.822203] L(21,  9): 414 	
[ 1037.847833] L(21,  9): 460 	
[ 1037.873320] L(21,  9): 457 	
[ 1037.915005] L(21,  9): 749 	
[ 1037.960469] L(21,  9): 815 	
[ 1037.998919] L(21,  9): 690 	
[ 1038.043058] L(21,  9): 793 	
[ 1038.086243] L(21,  9): 776 	
[ 1038.149535] L(21,  9): 946 	
[ 1038.190055] L(21,  9): 725 	
[ 1038.230917] L(21,  9): 714 	
[ 1038.270113] L(21,  9): 703 	

[ 1038.305353] L(21, 20): 633 	
[ 1038.342392] L(21, 20): 665 	
[ 1038.381051] L(21, 20): 694 	
[ 1038.420758] L(21, 20): 711 	
[ 1038.460174] L(21, 20): 708 	
[ 1038.499749] L(21, 20): 711 	
[ 1038.538470] L(21, 20): 695 	
[ 1038.575673] L(21, 20): 668 	
[ 1038.612957] L(21, 20): 670 	
[ 1038.653044] L(21, 20): 720 	
[ 1038.692970] L(21, 20): 717 	
[ 1038.733514] L(21, 20): 728 	
[ 1038.758235] L(21, 20): 443 	
[ 1038.782867] L(21, 20): 442 	
[ 1038.807683] L(21, 20): 445 	
[ 1038.832211] L(21, 20): 440 	

[ 1038.852551] L(21, 12): 365 	
[ 1038.872661] L(21, 12): 360 	
[ 1038.892788] L(21, 12): 361 	
[ 1038.912876] L(21, 12): 360 	
[ 1038.933001] L(21, 12): 361 	
[ 1038.953115] L(21, 12): 361 	
[ 1038.973258] L(21, 12): 361 	
[ 1038.993345] L(21, 12): 360 	
[ 1039.013431] L(21, 12): 360 	
[ 1039.033518] L(21, 12): 360 	
[ 1039.053615] L(21, 12): 360 	
[ 1039.073708] L(21, 12): 360 	
[ 1039.093790] L(21, 12): 360 	
[ 1039.113869] L(21, 12): 360 	
[ 1039.134591] L(21, 12): 372 	
[ 1039.154701] L(21, 12): 360 	

[ 1039.178889] L(21, 19): 434 	
[ 1039.203441] L(21, 19): 440 	
[ 1039.227894] L(21, 19): 439 	
[ 1039.252917] L(21, 19): 449 	
[ 1039.277321] L(21, 19): 438 	
[ 1039.301542] L(21, 19): 434 	
[ 1039.325991] L(21, 19): 439 	
[ 1039.350032] L(21, 19): 431 	
[ 1039.374066] L(21, 19): 431 	
[ 1039.398795] L(21, 19): 444 	
[ 1039.423278] L(21, 19): 439 	
[ 1039.447804] L(21, 19): 439 	
[ 1039.472440] L(21, 19): 442 	
[ 1039.496857] L(21, 19): 438 	
[ 1039.521619] L(21, 19): 444 	
[ 1039.546453] L(21, 19): 445 	

[ 1039.571622] L(21, 21): 452 	
[ 1039.596596] L(21, 21): 448 	
[ 1039.621984] L(21, 21): 456 	
[ 1039.646498] L(21, 21): 440 	
[ 1039.671123] L(21, 21): 442 	
[ 1039.695949] L(21, 21): 445 	
[ 1039.721089] L(21, 21): 451 	
[ 1039.745943] L(21, 21): 446 	
[ 1039.770624] L(21, 21): 443 	
[ 1039.795594] L(21, 21): 448 	
[ 1039.820880] L(21, 21): 453 	
[ 1039.846324] L(21, 21): 456 	
[ 1039.871257] L(21, 21): 447 	
[ 1039.896323] L(21, 21): 450 	
[ 1039.921499] L(21, 21): 452 	
[ 1039.946544] L(21, 21): 449 	

[ 1039.967656] L(21, 13): 378 	
[ 1039.988265] L(21, 13): 369 	
[ 1040.008764] L(21, 13): 368 	
[ 1040.030107] L(21, 13): 383 	
[ 1040.053929] L(21, 13): 427 	
[ 1040.078002] L(21, 13): 432 	
[ 1040.102490] L(21, 13): 439 	
[ 1040.126623] L(21, 13): 433 	
[ 1040.150568] L(21, 13): 429 	
[ 1040.174116] L(21, 13): 422 	
[ 1040.198407] L(21, 13): 436 	
[ 1040.222688] L(21, 13): 435 	
[ 1040.246878] L(21, 13): 434 	
[ 1040.278575] L(21, 13): 428 	
[ 1040.308520] L(21, 13): 390 	
[ 1040.340779] L(21, 13): 419 	

