sudo dmesg -C
sudo insmod latency.ko
sudo rmmod latency.ko
dmesg
[  674.542521] Insert module 
[  674.564509] L(18,  7): 394 	
[  674.585576] L(13,  7): 378 	
[  674.607888] L(16,  7): 400 	
[  674.629738] L(14,  7): 392 	
[  674.650585] L(12,  7): 374 	
[  674.672247] L(15,  7): 388 	
[  674.694201] L(17,  7): 394 	
[  674.714795] L( 9,  7): 369 	
[  674.735350] L(10,  7): 369 	
[  674.755923] L( 8,  7): 369 	
[  674.777718] L(21,  7): 391 	
[  674.799114] L(20,  7): 383 	
[  674.821014] L(19,  7): 393 	
[  674.841602] L(11,  7): 369 	
[  674.862178] L( 7,  7): 369 	
[  674.882388] L( 6,  7): 362 	
[  674.903970] L(18,  8): 387 	
[  674.925112] L(13,  8): 379 	
[  674.947028] L(16,  8): 393 	
[  674.968702] L(14,  8): 389 	
[  674.989677] L(12,  8): 376 	
[  675.011919] L(15,  8): 399 	
[  675.034175] L(17,  8): 399 	
[  675.054768] L( 9,  8): 369 	
[  675.075362] L(10,  8): 369 	
[  675.095941] L( 8,  8): 369 	
[  675.117539] L(21,  8): 387 	
[  675.139332] L(20,  8): 391 	
[  675.161892] L(19,  8): 405 	
[  675.182457] L(11,  8): 369 	
[  675.203059] L( 7,  8): 369 	
[  675.223277] L( 6,  8): 362 	
[  675.244441] L(18, 12): 379 	
[  675.265265] L(13, 12): 373 	
[  675.286056] L(16, 12): 373 	
[  675.307029] L(14, 12): 376 	
[  675.328183] L(12, 12): 379 	
[  675.349428] L(15, 12): 381 	
[  675.370341] L(17, 12): 375 	
[  675.391094] L( 9, 12): 372 	
[  675.412134] L(10, 12): 377 	
[  675.432870] L( 8, 12): 372 	
[  675.454583] L(21, 12): 389 	
[  675.475608] L(20, 12): 377 	
[  675.497183] L(19, 12): 387 	
[  675.517958] L(11, 12): 372 	
[  675.538890] L( 7, 12): 375 	
[  675.559295] L( 6, 12): 366 	
[  675.581305] L(18, 11): 395 	
[  675.602904] L(13, 11): 387 	
[  675.624556] L(16, 11): 388 	
[  675.646906] L(14, 11): 401 	
[  675.667740] L(12, 11): 374 	
[  675.689695] L(15, 11): 394 	
[  675.711782] L(17, 11): 396 	
[  675.732336] L( 9, 11): 369 	
[  675.752924] L(10, 11): 369 	
[  675.773519] L( 8, 11): 369 	
[  675.795321] L(21, 11): 391 	
[  675.817057] L(20, 11): 390 	
[  675.838818] L(19, 11): 390 	
[  675.859402] L(11, 11): 369 	
[  675.879999] L( 7, 11): 369 	
[  675.900210] L( 6, 11): 362 	
[  675.923196] L(18, 15): 412 	
[  675.945672] L(13, 15): 403 	
[  675.969004] L(16, 15): 418 	
[  675.992617] L(14, 15): 424 	
[  676.013533] L(12, 15): 375 	
[  676.036627] L(15, 15): 414 	
[  676.059378] L(17, 15): 408 	
[  676.081449] L( 9, 15): 396 	
[  676.103776] L(10, 15): 400 	
[  676.126014] L( 8, 15): 399 	
[  676.148254] L(21, 15): 399 	
[  676.171166] L(20, 15): 411 	
[  676.193848] L(19, 15): 407 	
[  676.216062] L(11, 15): 398 	
[  676.238190] L( 7, 15): 397 	
[  676.260050] L( 6, 15): 392 	
[  676.282627] L(18, 14): 405 	
[  676.304621] L(13, 14): 394 	
[  676.328156] L(16, 14): 422 	
[  676.351093] L(14, 14): 411 	
[  676.371884] L(12, 14): 373 	
[  676.395522] L(15, 14): 424 	
[  676.418982] L(17, 14): 421 	
[  676.440606] L( 9, 14): 388 	
[  676.462715] L(10, 14): 396 	
[  676.484491] L( 8, 14): 390 	
[  676.507688] L(21, 14): 416 	
[  676.530507] L(20, 14): 409 	
[  676.554114] L(19, 14): 423 	
[  676.575914] L(11, 14): 391 	
[  676.597826] L( 7, 14): 393 	
[  676.619253] L( 6, 14): 384 	
[  676.640844] L(18,  6): 387 	
[  676.662205] L(13,  6): 383 	
[  676.683916] L(16,  6): 389 	
[  676.705126] L(14,  6): 380 	
[  676.725714] L(12,  6): 369 	
[  676.747192] L(15,  6): 385 	
[  676.769077] L(17,  6): 392 	
[  676.789303] L( 9,  6): 363 	
[  676.809551] L(10,  6): 363 	
[  676.829813] L( 8,  6): 363 	
[  676.850746] L(21,  6): 375 	
[  676.872282] L(20,  6): 386 	
[  676.893971] L(19,  6): 389 	
[  676.914197] L(11,  6): 363 	
[  676.934412] L( 7,  6): 362 	
[  676.954704] L( 6,  6): 364 	
[  676.976954] L(18, 21): 399 	
[  676.999832] L(13, 21): 410 	
[  677.022563] L(16, 21): 408 	
[  677.045384] L(14, 21): 409 	
[  677.066531] L(12, 21): 379 	
[  677.089353] L(15, 21): 409 	
[  677.112136] L(17, 21): 409 	
[  677.133633] L( 9, 21): 385 	
[  677.155491] L(10, 21): 392 	
[  677.176635] L( 8, 21): 379 	
