sudo dmesg -C
sudo insmod latency.ko
sudo rmmod latency.ko
dmesg
[   59.874950] latency: loading out-of-tree module taints kernel.
[   59.878360] Insert module 
[   59.909088] L(14, 13): 336 	
[   59.938155] L(11, 13): 343 	
[   59.958819] L(20, 13): 370 	
[   59.979436] L(21, 13): 370 	
[   60.000040] L(12, 13): 369 	
[   60.020640] L(15, 13): 369 	
[   60.041217] L(16, 13): 369 	
[   60.061833] L(19, 13): 370 	
[   60.082432] L( 8, 13): 369 	
[   60.103041] L(10, 13): 369 	
[   60.123298] L( 6, 13): 363 	
[   60.143866] L(18, 13): 369 	
[   60.164472] L(13, 13): 369 	
[   60.185081] L(17, 13): 369 	
[   60.205683] L( 9, 13): 369 	
[   60.226253] L( 7, 13): 369 	
[   60.249789] L(14, 14): 422 	
[   60.270399] L(11, 14): 369 	
[   60.293914] L(20, 14): 422 	
[   60.317453] L(21, 14): 422 	
[   60.338057] L(12, 14): 369 	
[   60.361568] L(15, 14): 422 	
[   60.385118] L(16, 14): 422 	
[   60.408635] L(19, 14): 422 	
[   60.429235] L( 8, 14): 369 	
[   60.449840] L(10, 14): 369 	
[   60.470100] L( 6, 14): 363 	
[   60.493705] L(18, 14): 423 	
[   60.514534] L(13, 14): 373 	
[   60.538070] L(17, 14): 422 	
[   60.558642] L( 9, 14): 369 	
[   60.579251] L( 7, 14): 369 	
[   60.599848] L(14,  8): 369 	
[   60.620443] L(11,  8): 369 	
[   60.646476] L(20,  8): 467 	
[   60.672545] L(21,  8): 468 	
[   60.693114] L(12,  8): 369 	
[   60.719177] L(15,  8): 468 	
[   60.745210] L(16,  8): 467 	
[   60.771269] L(19,  8): 468 	
[   60.791831] L( 8,  8): 369 	
[   60.812448] L(10,  8): 369 	
[   60.832686] L( 6,  8): 363 	
[   60.858712] L(18,  8): 467 	
[   60.879315] L(13,  8): 369 	
[   60.905383] L(17,  8): 468 	
[   60.925952] L( 9,  8): 369 	
