sudo dmesg -C
sudo insmod latency.ko
sudo rmmod latency.ko
dmesg
[   66.181850] Insert module 
[   66.202647] L(12,  9): 372 	
[   66.223258] L( 9,  9): 369 	
[   66.243813] L(11,  9): 369 	
[   66.269879] L(18,  9): 468 	
[   66.290461] L( 8,  9): 369 	
[   66.316520] L(17,  9): 468 	
[   66.342552] L(15,  9): 467 	
[   66.368625] L(21,  9): 468 	
[   66.389222] L(10,  9): 369 	
[   66.415259] L(20,  9): 467 	
[   66.441303] L(16,  9): 467 	
[   66.461906] L(13,  9): 369 	
[   66.482491] L( 7,  9): 369 	
[   66.502744] L( 6,  9): 363 	
[   66.528777] L(19,  9): 467 	
[   66.549381] L(14,  9): 369 	
[   66.569987] L(12, 14): 369 	
[   66.590564] L( 9, 14): 369 	
[   66.611157] L(11, 14): 369 	
[   66.634705] L(18, 14): 422 	
[   66.655304] L( 8, 14): 369 	
[   66.678826] L(17, 14): 422 	
[   66.702367] L(15, 14): 422 	
[   66.725873] L(21, 14): 422 	
[   66.746476] L(10, 14): 369 	
[   66.770005] L(20, 14): 422 	
[   66.793566] L(16, 14): 423 	
[   66.814169] L(13, 14): 369 	
[   66.834768] L( 7, 14): 369 	
[   66.855087] L( 6, 14): 364 	
[   66.878598] L(19, 14): 422 	
[   66.902134] L(14, 14): 422 	
[   66.922740] L(12, 20): 369 	
[   66.948834] L( 9, 20): 468 	
[   66.975148] L(11, 20): 472 	
[   67.004255] L(18, 20): 522 	
[   67.030564] L( 8, 20): 472 	
[   67.059656] L(17, 20): 522 	
[   67.088781] L(15, 20): 523 	
[   67.118229] L(21, 20): 522 	
[   67.144289] L(10, 20): 467 	
[   67.173908] L(20, 20): 521 	
[   67.202941] L(16, 20): 521 	
[   67.223539] L(13, 20): 369 	
[   67.251954] L( 7, 20): 168 	
[   67.277787] L( 6, 20): 0 	
[   67.306801] L(19, 20): 0 	
[   67.330589] L(14, 20): 0 	
[   67.351290] L(12, 16): 0 	
[   67.377331] L( 9, 16): 0 	
[   67.403555] L(11, 16): 0 	
[   67.432542] L(18, 16): 0 	
[   67.458581] L( 8, 16): 0 	
[   67.487578] L(17, 16): 0 	
[   67.516565] L(15, 16): 0 	
[   67.545541] L(21, 16): 0 	
[   67.571610] L(10, 16): 0 	
[   67.600597] L(20, 16): 0 	
[   67.629576] L(16, 16): 0 	
[   67.650174] L(13, 16): 0 	
[   67.676213] L( 7, 16): 0 	
[   67.701954] L( 6, 16): 0 	
[   67.730932] L(19, 16): 0 	
[   67.754475] L(14, 16): 0 	
[   67.775049] L(12, 13): 0 	
[   67.795657] L( 9, 13): 0 	
[   67.816286] L(11, 13): 0 	
[   67.836887] L(18, 13): 0 	
[   67.857457] L( 8, 13): 0 	
[   67.878051] L(17, 13): 0 	
[   67.898643] L(15, 13): 0 	
[   67.919249] L(21, 13): 0 	
[   67.939838] L(10, 13): 0 	
[   67.960435] L(20, 13): 0 	
[   67.981043] L(16, 13): 0 	
[   68.001636] L(13, 13): 0 	
[   68.022380] L( 7, 13): 0 	
[   68.042604] L( 6, 13): 0 	
[   68.063218] L(19, 13): 0 	
[   68.083824] L(14, 13): 0 	
[   68.104422] L(12, 10): 0 	
[   68.124977] L( 9, 10): 0 	
[   68.145575] L(11, 10): 0 	
[   68.171641] L(18, 10): 0 	
[   68.192207] L( 8, 10): 0 	
[   68.218266] L(17, 10): 0 	
[   68.244308] L(15, 10): 0 	
[   68.270362] L(21, 10): 0 	
[   68.290925] L(10, 10): 0 	
[   68.316989] L(20, 10): 0 	
[   68.343020] L(16, 10): 0 	
[   68.363620] L(13, 10): 0 	
[   68.384214] L( 7, 10): 0 	
[   68.404446] L( 6, 10): 0 	
[   68.430477] L(19, 10): 0 	
[   68.451284] L(14, 10): 0 	
[   68.471896] L(12, 11): 0 	
[   68.492624] L( 9, 11): 0 	
[   68.513396] L(11, 11): 0 	
[   68.539504] L(18, 11): 0 	
[   68.560075] L( 8, 11): 0 	
[   68.586314] L(17, 11): 0 	
[   68.612545] L(15, 11): 0 	
[   68.638603] L(21, 11): 0 	
[   68.659368] L(10, 11): 0 	
[   68.685715] L(20, 11): 0 	
[   68.711754] L(16, 11): 0 	
[   68.732567] L(13, 11): 0 	
[   68.753330] L( 7, 11): 0 	
[   68.773585] L( 6, 11): 0 	
[   68.799778] L(19, 11): 0 	
[   68.820403] L(14, 11): 0 	
[   68.841184] L(12,  7): 0 	
[   68.861774] L( 9,  7): 0 	
