sudo dmesg -C
sudo insmod latency.ko
sudo rmmod latency.ko
dmesg
[   74.462132] Insert module 
[   74.486637] L(14, 15): 430 	
[   74.516002] L(16, 15): 524 	
[   74.536629] L(12, 15): 370 	
[   74.565922] L(21, 15): 526 	
[   74.592040] L( 7, 15): 469 	
[   74.621161] L(17, 15): 522 	
[   74.650513] L(19, 15): 527 	
[   74.671159] L(13, 15): 370 	
[   74.700295] L(15, 15): 523 	
[   74.726557] L(11, 15): 471 	
[   74.752643] L(10, 15): 468 	
[   74.781770] L(18, 15): 523 	
[   74.807996] L( 8, 15): 471 	
[   74.834090] L( 9, 15): 468 	
[   74.863249] L(20, 15): 523 	
[   74.889222] L( 6, 15): 466 	
[   74.912752] L(14, 20): 422 	
[   74.942055] L(16, 20): 526 	
[   74.968321] L(12, 20): 329 	
[   75.006299] L(21, 20): 454 	
[   75.038272] L( 7, 20): 382 	
[   75.068403] L(17, 20): 515 	
[   75.097781] L(19, 20): 527 	
[   75.118608] L(13, 20): 373 	
[   75.147629] L(15, 20): 521 	
[   75.173859] L(11, 20): 471 	
[   75.200136] L(10, 20): 471 	
[   75.229131] L(18, 20): 520 	
[   75.255547] L( 8, 20): 474 	
[   75.281675] L( 9, 20): 469 	
[   75.310805] L(20, 20): 523 	
[   75.336765] L( 6, 20): 466 	
[   75.360307] L(14, 21): 422 	
[   75.389605] L(16, 21): 526 	
[   75.410205] L(12, 21): 369 	
[   75.439294] L(21, 21): 521 	
[   75.465688] L( 7, 21): 474 	
[   75.494697] L(17, 21): 521 	
[   75.523843] L(19, 21): 523 	
[   75.544691] L(13, 21): 374 	
[   75.573707] L(15, 21): 521 	
[   75.599926] L(11, 21): 470 	
[   75.626061] L(10, 21): 469 	
[   75.655073] L(18, 21): 521 	
[   75.681214] L( 8, 21): 469 	
[   75.707309] L( 9, 21): 468 	
[   75.736325] L(20, 21): 521 	
[   75.762203] L( 6, 21): 464 	
[   75.782933] L(14, 13): 372 	
[   75.803657] L(16, 13): 372 	
[   75.824271] L(12, 13): 370 	
[   75.844970] L(21, 13): 371 	
[   75.865716] L( 7, 13): 372 	
[   75.886450] L(17, 13): 372 	
[   75.907187] L(19, 13): 372 	
[   75.927907] L(13, 13): 371 	
[   75.948679] L(15, 13): 372 	
[   75.969440] L(11, 13): 372 	
[   75.990152] L(10, 13): 371 	
[   76.010851] L(18, 13): 371 	
[   76.031562] L( 8, 13): 371 	
[   76.052280] L( 9, 13): 371 	
[   76.072975] L(20, 13): 371 	
[   76.093307] L( 6, 13): 364 	
[   76.114067] L(14, 10): 372 	
[   76.140260] L(16, 10): 470 	
[   76.160854] L(12, 10): 369 	
[   76.187003] L(21, 10): 469 	
[   76.207718] L( 7, 10): 371 	
[   76.233848] L(17, 10): 469 	
[   76.260012] L(19, 10): 469 	
[   76.280636] L(13, 10): 370 	
[   76.306850] L(15, 10): 470 	
[   76.327547] L(11, 10): 371 	
[   76.348416] L(10, 10): 374 	
[   76.374575] L(18, 10): 469 	
[   76.395228] L( 8, 10): 370 	
[   76.415827] L( 9, 10): 369 	
[   76.441859] L(20, 10): 467 	
[   76.462118] L( 6, 10): 363 	
[   76.482746] L(14, 12): 370 	
[   76.503345] L(16, 12): 369 	
[   76.523929] L(12, 12): 369 	
[   76.544517] L(21, 12): 369 	
[   76.565123] L( 7, 12): 369 	
[   76.585726] L(17, 12): 369 	
[   76.606316] L(19, 12): 369 	
[   76.626879] L(13, 12): 369 	
[   76.647484] L(15, 12): 369 	
[   76.668083] L(11, 12): 369 	
[   76.688684] L(10, 12): 369 	
[   76.709255] L(18, 12): 369 	
[   76.729846] L( 8, 12): 369 	
[   76.750448] L( 9, 12): 369 	
[   76.771041] L(20, 12): 369 	
[   76.791252] L( 6, 12): 362 	
[   76.814804] L(14, 16): 422 	
[   76.843793] L(16, 16): 520 	
[   76.864395] L(12, 16): 369 	
[   76.893381] L(21, 16): 520 	
[   76.919436] L( 7, 16): 468 	
[   76.948439] L(17, 16): 521 	
[   76.977422] L(19, 16): 520 	
[   76.998026] L(13, 16): 369 	
[   77.027006] L(15, 16): 520 	
[   77.053068] L(11, 16): 468 	
[   77.079107] L(10, 16): 467 	
[   77.108086] L(18, 16): 520 	
