sudo dmesg -C
sudo insmod latency.ko
sudo rmmod latency.ko
dmesg
[   80.761764] Insert module 
[   80.782284] L( 6, 14): 367 	
[   80.802911] L( 8, 14): 370 	
[   80.826439] L(19, 14): 422 	
[   80.847074] L(13, 14): 370 	
[   80.870651] L(18, 14): 423 	
[   80.891450] L( 7, 14): 373 	
[   80.915139] L(15, 14): 425 	
[   80.938844] L(14, 14): 425 	
[   80.962464] L(21, 14): 424 	
[   80.983087] L( 9, 14): 370 	
[   81.006638] L(17, 14): 422 	
[   81.027231] L(10, 14): 369 	
[   81.047830] L(12, 14): 369 	
[   81.068444] L(11, 14): 370 	
[   81.091952] L(16, 14): 422 	
[   81.115496] L(20, 14): 422 	
[   81.135763] L( 6,  9): 363 	
[   81.156348] L( 8,  9): 369 	
[   81.182390] L(19,  9): 467 	
[   81.202989] L(13,  9): 369 	
[   81.229016] L(18,  9): 467 	
[   81.249609] L( 7,  9): 369 	
[   81.275639] L(15,  9): 467 	
[   81.296309] L(14,  9): 370 	
[   81.322372] L(21,  9): 468 	
[   81.342929] L( 9,  9): 369 	
[   81.368991] L(17,  9): 468 	
[   81.389599] L(10,  9): 369 	
[   81.410242] L(12,  9): 369 	
[   81.430842] L(11,  9): 369 	
[   81.456894] L(16,  9): 467 	
[   81.482944] L(20,  9): 467 	
[   81.503176] L( 6,  7): 363 	
[   81.523747] L( 8,  7): 369 	
[   81.549789] L(19,  7): 467 	
[   81.570378] L(13,  7): 369 	
[   81.596410] L(18,  7): 467 	
[   81.616982] L( 7,  7): 369 	
[   81.643015] L(15,  7): 467 	
[   81.663609] L(14,  7): 369 	
[   81.689664] L(21,  7): 468 	
[   81.710220] L( 9,  7): 369 	
[   81.736270] L(17,  7): 467 	
[   81.756858] L(10,  7): 369 	
[   81.777427] L(12,  7): 369 	
[   81.798002] L(11,  7): 369 	
[   81.824056] L(16,  7): 467 	
[   81.850103] L(20,  7): 467 	
[   81.870341] L( 6, 11): 363 	
[   81.890901] L( 8, 11): 369 	
[   81.916954] L(19, 11): 467 	
[   81.937559] L(13, 11): 369 	
[   81.963596] L(18, 11): 467 	
[   81.984184] L( 7, 11): 369 	
[   82.010215] L(15, 11): 467 	
[   82.030803] L(14, 11): 369 	
[   82.056880] L(21, 11): 468 	
[   82.077432] L( 9, 11): 368 	
[   82.103495] L(17, 11): 468 	
[   82.124057] L(10, 11): 369 	
[   82.144638] L(12, 11): 369 	
[   82.165235] L(11, 11): 369 	
[   82.191272] L(16, 11): 467 	
[   82.217325] L(20, 11): 467 	
[   82.237610] L( 6, 12): 364 	
[   82.258175] L( 8, 12): 369 	
[   82.278771] L(19, 12): 369 	
[   82.299385] L(13, 12): 370 	
[   82.320026] L(18, 12): 369 	
[   82.340609] L( 7, 12): 369 	
[   82.361199] L(15, 12): 369 	
[   82.381789] L(14, 12): 369 	
[   82.402391] L(21, 12): 369 	
[   82.422981] L( 9, 12): 369 	
[   82.443542] L(17, 12): 369 	
[   82.464151] L(10, 12): 369 	
[   82.484740] L(12, 12): 369 	
[   82.505333] L(11, 12): 369 	
[   82.525907] L(16, 12): 369 	
[   82.546509] L(20, 12): 369 	
[   82.572262] L( 6, 16): 462 	
[   82.598285] L( 8, 16): 467 	
[   82.627272] L(19, 16): 520 	
[   82.647881] L(13, 16): 370 	
[   82.676860] L(18, 16): 520 	
[   82.702919] L( 7, 16): 468 	
[   82.731908] L(15, 16): 520 	
[   82.755458] L(14, 16): 422 	
[   82.784442] L(21, 16): 520 	
[   82.810476] L( 9, 16): 467 	
[   82.839478] L(17, 16): 521 	
[   82.865511] L(10, 16): 467 	
[   82.886115] L(12, 16): 369 	
[   82.912149] L(11, 16): 467 	
[   82.941124] L(16, 16): 520 	
[   82.970123] L(20, 16): 521 	
[   82.995844] L( 6, 19): 462 	
[   83.021910] L( 8, 19): 468 	
[   83.050886] L(19, 19): 520 	
[   83.071479] L(13, 19): 369 	
[   83.100447] L(18, 19): 520 	
[   83.126476] L( 7, 19): 467 	
[   83.155478] L(15, 19): 521 	
[   83.178988] L(14, 19): 422 	
[   83.207968] L(21, 19): 520 	
[   83.234025] L( 9, 19): 468 	
[   83.263005] L(17, 19): 520 	
[   83.289061] L(10, 19): 468 	
[   83.309612] L(12, 19): 368 	
[   83.335729] L(11, 19): 468 	
[   83.364707] L(16, 19): 520 	
[   83.393674] L(20, 19): 520 	
[   83.413930] L( 6,  8): 363 	
[   83.434518] L( 8,  8): 369 	
[   83.460559] L(19,  8): 467 	
[   83.481151] L(13,  8): 369 	
[   83.507197] L(18,  8): 467 	
[   83.527782] L( 7,  8): 369 	
[   83.553837] L(15,  8): 468 	
[   83.574414] L(14,  8): 369 	
[   83.600466] L(21,  8): 467 	
[   83.621058] L( 9,  8): 369 	
[   83.647084] L(17,  8): 467 	
[   83.667674] L(10,  8): 369 	
[   83.688273] L(12,  8): 369 	
[   83.708831] L(11,  8): 369 	
[   83.734893] L(16,  8): 468 	
[   83.760932] L(20,  8): 467 	
[   83.786676] L( 6, 20): 462 	
[   83.812717] L( 8, 20): 467 	
[   83.841678] L(19, 20): 520 	
[   83.862280] L(13, 20): 369 	
[   83.891261] L(18, 20): 520 	
[   83.917326] L( 7, 20): 468 	
[   83.946324] L(15, 20): 520 	
[   83.969863] L(14, 20): 422 	
[   83.998839] L(21, 20): 520 	
[   84.024895] L( 9, 20): 468 	
[   84.053908] L(17, 20): 521 	
[   84.079947] L(10, 20): 467 	
[   84.100557] L(12, 20): 370 	
[   84.126581] L(11, 20): 467 	
[   84.155579] L(16, 20): 520 	
