sudo dmesg -C
sudo insmod latency.ko
sudo rmmod latency.ko
dmesg
[  111.929222] Insert module 
[  111.950069] L(18, 12): 373 	
[  111.970679] L(14, 12): 369 	
[  111.991263] L(16, 12): 369 	
[  112.011956] L(17, 12): 370 	
[  112.032557] L(10, 12): 369 	
[  112.053167] L( 9, 12): 370 	
[  112.073441] L( 6, 12): 363 	
[  112.094002] L(21, 12): 369 	
[  112.114628] L(13, 12): 370 	
[  112.135227] L(20, 12): 369 	
[  112.155824] L(11, 12): 369 	
[  112.176443] L(15, 12): 369 	
[  112.197045] L( 7, 12): 369 	
[  112.217650] L(12, 12): 369 	
[  112.238257] L( 8, 12): 369 	
[  112.258825] L(19, 12): 369 	
[  112.286008] L(18, 20): 488 	
[  112.310261] L(14, 20): 435 	
[  112.337452] L(16, 20): 488 	
[  112.364129] L(17, 20): 479 	
[  112.388217] L(10, 20): 432 	
[  112.412830] L( 9, 20): 442 	
[  112.437246] L( 6, 20): 438 	
[  112.462160] L(21, 20): 447 	
[  112.483441] L(13, 20): 382 	
[  112.510254] L(20, 20): 481 	
[  112.534569] L(11, 20): 436 	
[  112.561379] L(15, 20): 481 	
[  112.586022] L( 7, 20): 442 	
[  112.606606] L(12, 20): 369 	
[  112.631216] L( 8, 20): 442 	
[  112.657352] L(19, 20): 469 	
[  112.681879] L(18, 10): 440 	
[  112.704010] L(14, 10): 397 	
[  112.728834] L(16, 10): 445 	
[  112.753259] L(17, 10): 438 	
[  112.773823] L(10, 10): 369 	
[  112.794392] L( 9, 10): 369 	
[  112.814642] L( 6, 10): 363 	
[  112.837583] L(21, 10): 411 	
[  112.858190] L(13, 10): 369 	
[  112.882448] L(20, 10): 435 	
[  112.903043] L(11, 10): 369 	
[  112.927883] L(15, 10): 446 	
[  112.948484] L( 7, 10): 369 	
[  112.969078] L(12, 10): 369 	
[  112.989675] L( 8, 10): 369 	
[  113.014403] L(19, 10): 444 	
[  113.040025] L(18, 14): 459 	
[  113.064210] L(14, 14): 434 	
[  113.088515] L(16, 14): 436 	
[  113.112690] L(17, 14): 434 	
[  113.134239] L(10, 14): 386 	
[  113.155776] L( 9, 14): 386 	
[  113.176936] L( 6, 14): 379 	
[  113.201624] L(21, 14): 443 	
[  113.222225] L(13, 14): 369 	
[  113.246349] L(20, 14): 433 	
[  113.267770] L(11, 14): 384 	
[  113.291822] L(15, 14): 431 	
[  113.313345] L( 7, 14): 386 	
[  113.333951] L(12, 14): 369 	
[  113.355098] L( 8, 14): 379 	
[  113.379225] L(19, 14): 433 	
[  113.403978] L(18,  8): 444 	
[  113.425854] L(14,  8): 392 	
[  113.450556] L(16,  8): 443 	
[  113.474673] L(17,  8): 433 	
[  113.495266] L(10,  8): 369 	
[  113.515862] L( 9,  8): 369 	
[  113.536105] L( 6,  8): 363 	
[  113.559578] L(21,  8): 421 	
[  113.580288] L(13,  8): 371 	
[  113.604486] L(20,  8): 434 	
[  113.625051] L(11,  8): 369 	
[  113.649423] L(15,  8): 437 	
[  113.670014] L( 7,  8): 369 	
[  113.690597] L(12,  8): 369 	
[  113.711178] L( 8,  8): 369 	
[  113.735657] L(19,  8): 439 	
[  113.759830] L(18,  9): 434 	
[  113.781843] L(14,  9): 395 	
[  113.806533] L(16,  9): 443 	
[  113.830887] L(17,  9): 437 	
[  113.851478] L(10,  9): 369 	
[  113.872076] L( 9,  9): 369 	
[  113.892269] L( 6,  9): 362 	
[  113.915608] L(21,  9): 419 	
[  113.936588] L(13,  9): 376 	
[  113.961040] L(20,  9): 439 	
[  113.981636] L(11,  9): 369 	
[  114.006273] L(15,  9): 442 	
[  114.026838] L( 7,  9): 369 	
[  114.047475] L(12,  9): 370 	
[  114.068086] L( 8,  9): 369 	
[  114.092215] L(19,  9): 433 	
[  114.116215] L(18,  6): 430 	
[  114.137562] L(14,  6): 383 	
[  114.161539] L(16,  6): 430 	
[  114.185541] L(17,  6): 431 	
[  114.205802] L(10,  6): 363 	
[  114.226030] L( 9,  6): 363 	
[  114.246301] L( 6,  6): 363 	
[  114.269928] L(21,  6): 422 	
[  114.290457] L(13,  6): 368 	
[  114.314919] L(20,  6): 439 	
[  114.335391] L(11,  6): 367 	
[  114.359510] L(15,  6): 433 	
[  114.379967] L( 7,  6): 367 	
[  114.400465] L(12,  6): 367 	
[  114.420876] L( 8,  6): 366 	
[  114.445268] L(19,  6): 438 	
[  114.471153] L(18, 21): 464 	
[  114.496202] L(14, 21): 449 	
[  114.522485] L(16, 21): 472 	
[  114.548688] L(17, 21): 470 	
[  114.572368] L(10, 21): 425 	
[  114.596070] L( 9, 21): 425 	
[  114.619286] L( 6, 21): 416 	
[  114.645317] L(21, 21): 467 	
[  114.666623] L(13, 21): 382 	
[  114.691544] L(20, 21): 447 	
[  114.715498] L(11, 21): 430 	
[  114.741803] L(15, 21): 472 	
[  114.765541] L( 7, 21): 426 	
[  114.786369] L(12, 21): 373 	
[  114.809637] L( 8, 21): 417 	
[  114.834731] L(19, 21): 449 	
[  114.862129] L(18, 18): 492 	
[  114.886870] L(14, 18): 444 	
[  114.914686] L(16, 18): 499 	
[  114.940941] L(17, 18): 471 	
[  114.965160] L(10, 18): 434 	
[  114.989465] L( 9, 18): 436 	
[  115.013648] L( 6, 18): 434 	
[  115.039462] L(21, 18): 463 	
[  115.060025] L(13, 18): 369 	
[  115.087091] L(20, 18): 485 	
[  115.111705] L(11, 18): 442 	
[  115.138667] L(15, 18): 484 	
[  115.162949] L( 7, 18): 436 	
[  115.183541] L(12, 18): 369 	
[  115.210172] L( 8, 18): 478 	
[  115.237239] L(19, 18): 486 	
[  115.263959] L(18, 15): 479 	
[  115.288397] L(14, 15): 438 	
[  115.316544] L(16, 15): 505 	
[  115.344087] L(17, 15): 494 	
[  115.369278] L(10, 15): 452 	
[  115.394013] L( 9, 15): 444 	
[  115.418334] L( 6, 15): 436 	
[  115.444074] L(21, 15): 462 	
[  115.464927] L(13, 15): 374 	
[  115.492207] L(20, 15): 490 	
[  115.517125] L(11, 15): 447 	
[  115.544474] L(15, 15): 491 	
[  115.569003] L( 7, 15): 440 	
[  115.589593] L(12, 15): 369 	
[  115.614699] L( 8, 15): 450 	
[  115.641432] L(19, 15): 480 	
[  115.665959] L(18, 11): 440 	
[  115.687318] L(14, 11): 383 	
[  115.712093] L(16, 11): 444 	
[  115.736455] L(17, 11): 437 	
[  115.757029] L(10, 11): 369 	
[  115.777601] L( 9, 11): 369 	
[  115.797851] L( 6, 11): 363 	
[  115.821180] L(21, 11): 418 	
[  115.841911] L(13, 11): 372 	
[  115.866437] L(20, 11): 440 	
[  115.887026] L(11, 11): 369 	
[  115.911476] L(15, 11): 439 	
[  115.932063] L( 7, 11): 369 	
[  115.952684] L(12, 11): 370 	
[  115.973279] L( 8, 11): 369 	
[  115.997288] L(19, 11): 431 	
[  116.024068] L(18, 19): 481 	
